"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Construct","0","Vendor Flow - RFQ Enhanced","0","1","RFQ Quote - Input Validation","0"
"0","Construct","0","Customer Flow - Quote / RFQ","0","1","RFP Non-Editable After End Date","0"
"0","Construct","0","Vendor Flow - RFP (Invited)","0","1","Vendor Cannot Edit RFP After Submit","0"
"0","Construct","0","Vendor Flow - Performance","1","0","Navigation Performance","0"
"0","Construct","0","Vendor Flow - RFP/RFQ Integration","1","0","Navigation - RFP to RFQ","0"
"0","Construct","0","Customer Flow - Integration Tests","1","0","Navigation - Complete Application","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","Create RFP - Validation","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Security - XSS Protection","0"
"0","Construct","0","Login - Common (Security & Validation)","2","0","SQL Injection","0"
"0","Construct","1","Vendor Flow - Service Management - Access Control","0","0","Role-Based Access Control","0"
"0","Construct","0","Vendor Flow - RFQ Enhanced","0","1","RFQ Quote - Single Submission","0"
"0","Construct","0","Customer Flow - Quote/RFQ Enhanced","1","0","Quote List - View Functionality","0"
"0","Construct","0","Login - Customer Flow","1","0","Customer Login Success","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Service Validation","0"
"0","Construct","0","Vendor Flow - Negative","3","0","Validation","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","1","0","RFP List - Basic Functionality","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Service - Long Text","0"
"0","Construct","0","Vendor Flow - RFP (Invited)","0","1","Vendor Add Comment After RFP Submit","0"
"0","Construct","1","Vendor Dashboard","1","0","Services Section","0"
"0","Construct","0","Vendor Flow - RFQ Enhanced","1","0","RFQ List - Basic Functionality","0"
"0","Construct","0","Vendor Flow - Performance","1","0","Dashboard Load Performance","0"
"0","Construct","0","Vendor Flow - Positive","1","0","Session","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","0","1","RFP Comments - Multiple Comments","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","RFP Comments - Multiple Comments","0"
"0","Construct","0","Vendor Flow","1","0","Login","0"
"0","Construct","1","Vendor Flow - Service Management","0","0","Create Multiple Services","0"
"0","Construct","0","Login - Common (Security & Validation)","1","0","XSS","0"
"0","Construct","0","Customer Flow - Project & Task","0","1","Create Project","0"
"0","Construct","0","Vendor Flow - Access Control","3","0","Unauthenticated Access","0"
"0","Construct","0","Customer Flow - RFP","0","1","Create and Edit RFP","0"
"0","Construct","1","Login","0","0","Vendor Login","0"
"0","Construct","1","Vendor Dashboard","1","0","Activity Section","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","Submit RFP - Status Changes","0"
"0","Construct","1","Vendor Dashboard","1","0","Navigation","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Create Service - Minimal Data","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","Edit RFP - Version Control","0"
"0","Construct - Smoke","0","Login","1","0","Customer Login","0"
"0","Construct","0","Vendor Flow - Performance","1","0","Login Performance","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","0","1","RFP List - Empty State","0"
"0","Construct","0","Login - Vendor Flow","1","0","Vendor Login Success","0"
"0","Construct","0","Login - Customer Flow","1","0","Customer - Wrong Password","0"
"0","Construct","1","Customer Flow - RFP Enhanced","0","0","Create RFP - Security Testing","0"
"0","Construct","0","Customer Flow - Quote / RFQ","0","1","Create Quote and Submit","0"
"0","Construct","0","Customer Flow - Comments","0","1","Add Comment After RFP Submit","0"
"0","Construct","0","Customer Flow - RFP","0","1","Edit RFP - Version Bump","0"
"0","Construct","0","Vendor Flow","1","0","Navigation - RFQ","0"
"0","Construct","0","Customer Flow - Integration Tests","1","0","Complete Workflow - Project to Quote","0"
"0","Construct","0","Vendor Flow - Negative","1","0","Invalid Credentials","0"
"0","Construct - Smoke","0","Login","1","0","Vendor Login","0"
"0","Construct","0","Login","1","0","Login Page","0"
"0","Construct","0","Vendor Flow","1","0","Login and Navigation","0"
"0","Construct","0","Login - Vendor Flow","1","0","Vendor - Wrong Password","0"
"0","Construct","0","Customer Flow - Quote / RFQ","0","1","Customer Sees RFQ/Quote Only After End Date","0"
"0","Construct","0","Vendor Flow - RFQ / Quote","0","1","Vendor Can Quote and Submit Only Once","0"
"0","Construct","0","Customer Flow - Requirement Upload","1","0","Add Requirement - DOCX","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","Create RFP - Unicode Support","0"
"0","Construct","0","Login - Common","1","0","Login Page","0"
"0","Construct","0","Vendor Flow - RFQ Enhanced","0","1","RFQ Quote - Performance","0"
"0","Construct - Smoke","0","Navigation","1","0","Customer Navigation","0"
"0","Construct","0","Login - Common (Security & Validation)","3","0","Validation","0"
"0","Construct","0","Customer Flow - Project & Task","0","1","Create Task","0"
"0","Construct","0","Vendor Flow","1","0","Add Service Flow","0"
"0","Construct - Smoke","0","Navigation","1","0","Vendor Navigation","0"
"0","Construct","0","Vendor Flow - Negative","1","0","Wrong Password","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","Create RFP - Minimal Data","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","1","0","RFP Access Control - Cannot Edit Submitted","0"
"0","Construct","1","Vendor Flow - Service Management","0","0","Unicode Support","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Create Service","0"
"0","Construct","0","Customer Flow - Quote/RFQ Enhanced","0","1","Quote - Past End Date","0"
"0","Construct","0","Customer Flow - Requirement Upload","1","0","Add Requirement - PDF","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Service Name - Special Characters","0"
"0","Construct","0","Customer Dashboard","2","0","Customer Post-Login","0"
"0","Construct","0","Vendor Flow - RFQ Enhanced","0","1","RFQ List - Empty State","0"
"0","Construct","0","Vendor Flow - RFQ Enhanced","1","0","RFQ Details - View Functionality","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","Create RFP - Comprehensive","0"
"0","Construct","0","Login - Common (Security & Validation)","1","0","Invalid Credentials","0"
"0","Construct","0","Vendor Flow - Positive","1","0","Dashboard UI","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","1","0","RFP Details - View Functionality","0"
"0","Construct","0","Customer Flow - Quote/RFQ Enhanced","0","1","Create Quote - Comprehensive","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","RFP Access Control - End Date","0"
"0","Construct","0","Customer Flow - Invite Vendor","1","0","Invite Vendor","0"
"0","Construct","0","Login","1","0","Customer Login","0"
"0","Construct","0","Vendor Flow","1","0","Navigation - RFP","0"
"0","Construct","1","Vendor Flow - Service Management - Access Control","0","0","Unauthenticated Access","0"
"0","Construct","0","Vendor Flow - RFP/RFQ Integration","1","0","Navigation - Dashboard Integration","0"
"0","Construct","0","Vendor Flow","1","0","Navigation - Full Cycle","0"
"0","Construct","0","Login","1","0","Invalid Credentials","0"
"0","Construct","0","Login - Common","1","0","Invalid Credentials","0"
"0","Construct","0","Customer Flow - Vendor Permissions","0","1","Vendor Cannot Edit After RFP Submit","0"
"0","Construct","0","Vendor Flow - Error Handling","1","0","Invalid Route","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","0","1","RFP Comments - Security Testing","0"
"0","Construct","0","Customer Flow - RFP","0","1","Submit RFP","0"
